,Low,Medium,High,,,,
"TRACI 2.1, Acidification [kg SO2 eq.]",0.000443,0.000369,0.000221,,,,
"TRACI 2.1, Ecotoxicity (recommended) [CTUe]",0.0888,0.0661,0.0209,,,,
"TRACI 2.1, Eutrophication [kg N eq.]",4.71E-05,5.34E-05,6.61E-05,,,,
"TRACI 2.1, Global Warming Air, excl. biogenic carbon [kg CO2 eq.]",0.139,0.123,0.0925,,,,
"TRACI 2.1, Global Warming Air, incl. biogenic carbon [kg CO2 eq.]",0.139,0.123,0.0924,,,,
"TRACI 2.1, Human Health Particulate Air [kg PM2.5 eq.]",2.23E-05,1.86E-05,1.13E-05,,,,
"TRACI 2.1, Human toxicity, cancer ",8.49E-09,6.72E-09,3.20E-09,,,,
"TRACI 2.1, Human toxicity, non-canc. (recommended) [CTUh]",8.25E-09,6.54E-09,3.13E-09,,,,
"TRACI 2.1, Ozone Depletion Air [kg CFC 11 eq.]",5.89E-07,4.34E-07,1.25E-07,,,,
"TRACI 2.1, Resources, Fossil fuels [MJ surplus energy]",0.434,0.355,0.197,,,,
"TRACI 2.1, Smog Air [kg O3 eq.]",0.00661,0.00558,0.00352,,,,
,,,,,,,
